genus,higher_taxon
Nix angulata,Brachiopod
Marginovatia duodenaria,Brachiopod
Hamburgia,Brachiopod
Echinoconchus angustus,Brachiopod
Athyris spiriferoides,Brachiopod
Devonochonetes scitulus,Brachiopod
Protoleptostrophia perplana,Brachiopod
Mediospirifer audaculus,Brachiopod
Nucleospira concinna,Brachiopod
Retichonetes (Sinochonetes) lepidus,Brachiopod
Spinocyrtia granulosa,Brachiopod
Linoproductus planiventralis,Brachiopod
Scoloconcha,Brachiopod
Pugnoides quinqueplecis,Brachiopod
Carlinia,Brachiopod
Composita sigma,Brachiopod
Anthracospirifer shawi,Brachiopod
Brachythyrina,Brachiopod
Orthothetina,Brachiopod
Pentagonia,Brachiopod
Orbiculoidea wyomingensis,Brachiopod
Diaphragmus nivosus,Brachiopod
Pulsia,Brachiopod
Selenella,Brachiopod
Spirifer centronatus,Brachiopod
Allorhynchus,Brachiopod
Eoplectodonta (Ygerodiscus),Brachiopod
Stegerhynchus peneborealis,Brachiopod
Ancillotoechia eva,Brachiopod
Parallelora,Brachiopod
Ruthiphiala,Brachiopod
Mesoplica,Brachiopod
Argentiproductus,Brachiopod
Sentosia,Brachiopod
Semiproductus,Brachiopod
Sedenticellula,Brachiopod
Tylothyris missouriensis,Brachiopod
Eudoxina,Brachiopod
Zeugopleura,Brachiopod
Dielasmella,Brachiopod
Axiodeaneia,Brachiopod
Cardiothyris,Brachiopod
Aulacella,Brachiopod
Crania dodgei,Brachiopod
Chonopectus fischeri,Brachiopod
Evanescirostrum,Brachiopod
Praewaagenoconcha,Brachiopod
Orbinaria pyxidata,Brachiopod
Lingula louisianensis,Brachiopod
Acanthocrania spiculata,Brachiopod
Leptalosia scintilla,Brachiopod
Glossina lineolata,Brachiopod
Plectocamara,Brachiopod
Leptaena convexa,Brachiopod
Retzia,Brachiopod
Pionomena,Brachiopod
Amesopleura novamexicana,Brachiopod
Dinobolus,Brachiopod
Rhipidium,Brachiopod
Wilsoniella saffordi,Brachiopod
